Assortment,Probability
"[0, 2]","[0.6171762553809882, 0.382823744619012]"
"[0, 22, 27]","[0.49010203287014026, 0.3856208197783525, 0.12427714735150742]"
"[0, 7, 17, 22]","[0.17383055343275639, 0.44812960860117884, 0.29823923306899947, 0.07980060489706542]"
"[0, 17, 7, 21, 14]","[0.1338762504510885, 0.1933610050447225, 0.36507164200947906, 0.047087448565213484, 0.2606036539294967]"
"[0, 7, 2, 25, 30, 13]","[0.09520137647807961, 0.4258881190119289, 0.02294291031367795, 0.15501045096090535, 0.003280473546926393, 0.297676669688482]"
"[0, 22]","[0.5171014660805294, 0.4828985339194708]"
"[0, 27, 17]","[0.3102581952286581, 0.010109952800279638, 0.6796318519710622]"
"[0, 1, 15, 25]","[0.20007704331016507, 0.025125839467007027, 0.602653474379024, 0.17214364284380398]"
"[0, 12, 3, 16, 21]","[0.22100274925170904, 0.3497584857112811, 0.06697579294100986, 0.32011559650338095, 0.04214737559261929]"
"[0, 18, 29, 15, 2, 7]","[0.12195736757968309, 0.22748399266532057, 0.0031423921054806133, 0.2751305184678483, 0.027555615580155943, 0.3447301136015117]"
"[0, 8]","[0.27826220719908945, 0.7217377928009108]"
"[0, 25, 9]","[0.10667767841298828, 0.187537683079178, 0.7057846385078339]"
"[0, 1, 8, 23]","[0.16225842591671322, 0.036494547607870104, 0.6766919907814302, 0.12455503569398668]"
"[0, 27, 19, 5, 7]","[0.13251733454160758, 0.002107385881736761, 0.4042559417471182, 0.05853081628368151, 0.4025885215458562]"
"[0, 22, 19, 28, 4, 7]","[0.12688163360052898, 0.031928049955766646, 0.396729774981325, 0.002698835967417061, 0.03824265926697843, 0.403519046227984]"
"[0, 6]","[0.34559992808854784, 0.6544000719114522]"
"[0, 4, 20]","[0.14509994189730857, 0.06096242811428511, 0.7939376299884064]"
"[0, 15, 20, 6]","[0.09394923826725629, 0.2322654449820555, 0.3750155804372552, 0.2987697363134332]"
"[0, 28, 16, 12, 24]","[0.194929130310482, 0.002208922418746163, 0.3219572976674656, 0.3564540414769729, 0.12445060812633364]"
"[0, 6, 23, 5, 15, 19]","[0.08609612436078481, 0.30921936953290785, 0.04630130648842904, 0.04099516198452641, 0.2503521682637453, 0.2670358693696069]"
"[0, 2]","[0.6171762553809882, 0.382823744619012]"
"[0, 10, 26]","[0.15663513629251358, 0.8382457720491414, 0.005119091658345188]"
"[0, 20, 24, 14]","[0.10608196279669373, 0.5333416481903696, 0.05914439267646228, 0.30143199633647466]"
"[0, 17, 30, 3, 10]","[0.10916405488039124, 0.19035558150010726, 0.010382526148552021, 0.04214814565485053, 0.6479496918160992]"
"[0, 23, 26, 14, 18, 4]","[0.15318741665576344, 0.0654637026281295, 0.0004413010050297576, 0.3596046531105697, 0.37278621089022373, 0.04851671571028389]"
"[0, 17]","[0.31320077927361195, 0.686799220726388]"
"[0, 29, 2]","[0.5795781102155829, 0.1327744130414943, 0.28764747674292296]"
"[0, 4, 7, 11]","[0.17400901823314388, 0.09034528612811576, 0.45323531814021495, 0.2824103774985255]"
"[0, 29, 6, 17, 1]","[0.20582487488387052, 0.01427973648612105, 0.40990940789757113, 0.3330519741776966, 0.036934006554740856]"
"[0, 4, 18, 28, 24, 8]","[0.11170859187686566, 0.03997522812857732, 0.28151885327656534, 0.002385442820758066, 0.09813052410347742, 0.4662813597937564]"
"[0, 6]","[0.34559992808854784, 0.6544000719114522]"
"[0, 12, 21]","[0.31056952048242115, 0.6065824121278569, 0.08284806738972218]"
"[0, 11, 23, 1]","[0.2703457191454315, 0.5569830579075313, 0.1202507851360761, 0.052420437810961305]"
"[0, 2, 25, 8, 14]","[0.08623736824175987, 0.021224801484034963, 0.14878773128941963, 0.4484417949560114, 0.29530830402877434]"
"[0, 19, 30, 8, 2, 24]","[0.10201900978762318, 0.34670794476308947, 0.004766574191789012, 0.4443022528997276, 0.018354396740016793, 0.08384982161775412]"
"[0, 3]","[0.5770967690161186, 0.42290323098388155]"
"[0, 17, 23]","[0.25241095695520893, 0.6378208615249037, 0.10976818151988744]"
"[0, 15, 28, 25]","[0.20264192882123325, 0.6126576363115795, 0.0034462655403590978, 0.1812541693268284]"
"[0, 10, 18, 12, 3]","[0.09204166088227592, 0.5477792621033524, 0.18371167299638913, 0.14379267085081465, 0.03267473316716808]"
"[0, 23, 20, 9, 26, 4]","[0.08409624215735234, 0.028445074362249252, 0.38808932956559583, 0.474912917891286, 0.00017652040201190304, 0.024279915621504843]"
"[0, 1]","[0.654406942982526, 0.34559305701747417]"
"[0, 25, 11]","[0.23569182358190058, 0.220388890130353, 0.5439192862877464]"
"[0, 20, 13, 24]","[0.10975074647091686, 0.5566577735325856, 0.2741823067170176, 0.059409173279480136]"
"[0, 14, 2, 16, 24]","[0.17713752406361533, 0.4051962601837173, 0.034286874749715916, 0.27249569621285374, 0.11088364479009788]"
"[0, 29, 12, 24, 18, 5]","[0.1483672081902436, 0.002597324367725799, 0.2960084263164266, 0.09021309701731915, 0.40004167687706227, 0.06277226723122274]"
"[0, 16]","[0.35380467873167504, 0.6461953212683251]"
"[0, 24, 19]","[0.16751296154674614, 0.10107111436467739, 0.7314159240885767]"
"[0, 22, 26, 11]","[0.30027431014872463, 0.10894217367425564, 0.006224848531394559, 0.5845586676456253]"
"[0, 20, 27, 8, 3]","[0.10387210788937096, 0.4540465152546186, 0.0008429543526947044, 0.4205621751262996, 0.02067624737701631]"
